Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
25,2,DMG4712SSS-13DICT-ND,MOSFET N-CH 30V 11.2A 8SOIC,,2,0,0.6,1.2
26,6,IRFP4468PBF-ND,MOSFET N-CH 100V 195A TO-247AC,,6,0,7.38,44.28
27,10,311-120KHRCT-ND,RES SMD 120K OHM 1% 1/10W 0603,,10,0,0.015,0.15
28,10,311-100KHRCT-ND,RES SMD 100K OHM 1% 1/10W 0603,,10,0,0.015,0.15
29,10,311-100HRCT-ND,RES SMD 100 OHM 1% 1/10W 0603,,10,0,0.015,0.15
30,10,311-120HRCT-ND,RES SMD 120 OHM 1% 1/10W 0603,,10,0,0.015,0.15
31,10,311-110KHRCT-ND,RES SMD 110K OHM 1% 1/10W 0603,,10,0,0.015,0.15
32,10,311-470HRCT-ND,RES SMD 470 OHM 1% 1/10W 0603,,10,0,0.015,0.15
33,10,311-2.20KHRCT-ND,RES SMD 2.2K OHM 1% 1/10W 0603,,10,0,0.015,0.15
34,10,311-1.80KHRCT-ND,RES SMD 1.8K OHM 1% 1/10W 0603,,10,0,0.015,0.15
35,10,311-180HRCT-ND,RES SMD 180 OHM 1% 1/10W 0603,,10,0,0.015,0.15
36,10,311-0.0GRCT-ND,RES SMD 0 OHM JUMPER 1/10W 0603,,10,0,0.01,0.1
37,10,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,,10,0,0.015,0.15
38,10,311-4.87KHRCT-ND,RES SMD 4.87K OHM 1% 1/10W 0603,,10,0,0.015,0.15
39,10,311-18.0KHRCT-ND,RES SMD 18K OHM 1% 1/10W 0603,,10,0,0.015,0.15
40,10,311-2.00KHRCT-ND,RES SMD 2K OHM 1% 1/10W 0603,,10,0,0.015,0.15
41,15,311-2.2HRCT-ND,RES SMD 2.2 OHM 1% 1/10W 0603,,15,0,0.022,0.33
42,100,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,,100,0,0.006,0.6
43,10,311-1.00HRCT-ND,RES SMD 1 OHM 1% 1/10W 0603,,10,0,0.022,0.22
44,10,311-39.0KHRCT-ND,RES SMD 39K OHM 1% 1/10W 0603,,10,0,0.015,0.15
45,10,311-47.0HRCT-ND,RES SMD 47 OHM 1% 1/10W 0603,,10,0,0.015,0.15
46,10,311-33.0HRCT-ND,RES SMD 33 OHM 1% 1/10W 0603,,10,0,0.015,0.15
47,10,311-270KHRCT-ND,RES SMD 270K OHM 1% 1/10W 0603,,10,0,0.015,0.15
48,1,987-1591-1-ND,TRIMMER 100 OHM 0.25W SMD,,1,0,1.2,1.2
49,1,987-1017-1-ND,TRIMMER 50K OHM 0.25W SMD,,1,0,1.2,1.2
50,2,150ZCT-ND,RES 150 OHM 2W 5% AXIAL,,2,0,0.19,0.38
51,1,P59BCCT-ND,RES SMD 59 OHM 0.1% 1/4W 1206,,1,0,0.66,0.66
52,1,497-1590-1-ND,IC OPAMP GP 1.1MHZ 8SO,,1,0,0.35,0.35
53,1,MCP1501T-30E/CHYCT-ND,IC VREF SERIES 3V,,1,0,0.8,0.8
54,1,102-3639-ND,CONV DC/DC 1W 3.3V 303MA OUT,,1,0,3.87,3.87
55,2,576-2999-1-ND,IC REG LINEAR 5V 150MA SOT23-5,,2,0,0.41,0.82
56,1,296-37942-ND,IC MCU 32BIT 512KB FLASH 128TQFP,,1,0,14.32,14.32
57,1,296-26343-1-ND,IC CAN TRANSCEIVER 3.3V 8-SOIC,,1,0,2.43,2.43
58,2,336-3022-ND,DGTL ISO 1KV 4CH GEN PURP 16QSOP,,2,0,1.71,3.42
59,2,576-1186-ND,IC DRIVER MOSFET 1.5A DUAL 8SOIC,,2,0,0.88,1.76
60,1,398-1009-ND,SENSOR CURRENT HALL 100A AC/DC,,1,0,23.65,23.65
61,1,603-1747-ND,HEATSINK ASSY LGA2011 NARROW,,1,0,32.13,32.13
62,1,1727-6070-1-ND,IC BUFFER SCHMITT TRIGGER SC74A,,1,0,0.29,0.29
63,1,CLA114CT-ND,OPTOISO 3.75KV PHVOLT 8SMD,,1,0,3.03,3.03
64,1,MCP6001T-I/LTCT-ND,IC OPAMP GP 1MHZ RRO SC70-5,,1,0,0.27,0.27
65,1,ADA4805-1ARJZ-R7CT-ND,IC OPAMP 105MHZ RRO SOT23,,1,0,2.92,2.92
66,2,296-30344-1-ND,IC DVR HIGH/LOW SIDE 4A 8SOPWR,,2,0,3.68,7.36
67,1,LT3471EDD#PBF-ND,IC REG MULT CONFIG INV ADJ 10DFN,,1,0,5.63,5.63
68,1,945-1661-5-ND,DC/DC CONVERTER 3.3V 500MA THRU,,1,0,2.7,2.7
69,1,644-1041-1-ND,CRYSTAL 25.0000MHZ 8PF SMD,,1,0,0.66,0.66
70,1,S9014E-50-ND,"CONN HEADER .050"" 50POS PCB GOLD",,1,0,3.6,3.6
71,1,A102106-ND,RES CHAS MNT 1 OHM 5% 100W,,1,0,10.51,10.51
72,2,490-14491-ND,LEADED NTC THERMISTOR,,2,0,0.53,1.06
73,1,296-16845-1-ND,IC BUS TRANSCVR 2BIT N-INV SM8,,1,0,0.61,0.61
74,10,490-4781-1-ND,CAP CER 10000PF 100V X7R 0603,C61 C62 C64 C65,10,0,0.049,0.49
